subject_id,filepath,period,datatype,device_wearable,session
sub-HB1ZM3321037,sub-HB0037923118974\pre-1\wrb\sub-HB1ZM3321037_pre-1_wrb_zmx_1.zip,pre-1,wrb,zmx,1
sub-HB1ZM3321037,sub-HB0037923118974\pre-1\wrb\sub-HB1ZM3321037_pre-1_wrb_zmx_2.zip,pre-1,wrb,zmx,2
sub-HB1ZM3321037,sub-HB0037923118974\pre-1\wrb\sub-HB1ZM3321037_pre-1_wrb_zmx_3.zip,pre-1,wrb,zmx,3
sub-HB1ZM3321037,sub-HB0037923118974\pre-1\wrb\sub-HB1ZM3321037_pre-1_wrb_zmx_4.zip,pre-1,wrb,zmx,4
sub-HB1ZM3321037,sub-HB0037923118974\pre-1\wrb\sub-HB1ZM3321037_pre-1_wrb_zmx_5.zip,pre-1,wrb,zmx,5
sub-HB1ZM3321037,sub-HB0037923118974\pre-1\wrb\sub-HB1ZM3321037_pre-1_wrb_zmx_6.zip,pre-1,wrb,zmx,6
sub-HB1ZM3321037,sub-HB0037923118974\pre-1\wrb\sub-HB1ZM3321037_pre-1_wrb_zmx_7.zip,pre-1,wrb,zmx,7
sub-HB1ZM3321037,sub-HB0037923118974\pre-1\wrb\sub-HB1ZM3321037_pre-1_wrb_zmx_raw.zip,pre-1,wrb,zmx,raw
sub-HB2ZM3417935,sub-HB0037923118974\pre-2\wrb\sub-HB2ZM3417935_pre-2_wrb_zmx_1 - empty.zip,pre-2,wrb,zmx,1 - empty
sub-HB2ZM3417935,sub-HB0037923118974\pre-2\wrb\sub-HB2ZM3417935_pre-2_wrb_zmx_2.zip,pre-2,wrb,zmx,2
sub-HB2ZM3417935,sub-HB0037923118974\pre-2\wrb\sub-HB2ZM3417935_pre-2_wrb_zmx_3.zip,pre-2,wrb,zmx,3
sub-HB2ZM3417935,sub-HB0037923118974\pre-2\wrb\sub-HB2ZM3417935_pre-2_wrb_zmx_4.zip,pre-2,wrb,zmx,4
sub-HB2ZM3417935,sub-HB0037923118974\pre-2\wrb\sub-HB2ZM3417935_pre-2_wrb_zmx_5.zip,pre-2,wrb,zmx,5
sub-HB2ZM3417935,sub-HB0037923118974\pre-2\wrb\sub-HB2ZM3417935_pre-2_wrb_zmx_6.zip,pre-2,wrb,zmx,6
sub-HB2ZM3417935,sub-HB0037923118974\pre-2\wrb\sub-HB2ZM3417935_pre-2_wrb_zmx_7.zip,pre-2,wrb,zmx,7
sub-HB2ZM3417935,sub-HB0037923118974\pre-2\wrb\sub-HB2ZM3417935_pre-2_wrb_zmx_raw.zip,pre-2,wrb,zmx,raw
sub-HB3ZM3929411,sub-HB0037923118974\pre-3\wrb\sub-HB3ZM3929411_pre-3_wrb_zmx_1 - empty.zip,pre-3,wrb,zmx,1 - empty
sub-HB3ZM3929411,sub-HB0037923118974\pre-3\wrb\sub-HB3ZM3929411_pre-3_wrb_zmx_2.zip,pre-3,wrb,zmx,2
sub-HB3ZM3929411,sub-HB0037923118974\pre-3\wrb\sub-HB3ZM3929411_pre-3_wrb_zmx_3 - empty.zip,pre-3,wrb,zmx,3 - empty
